epoch,global_step,elapsed_s,loss_total,loss_mask,loss_link,loss_sub,sigma_mask,sigma_link,sigma_sub,alpha,lr,grad_norm,link_auc,sub_r2_clust,sub_r2_tri,eff_rank,visits
32,6400,195.2,-0.912600,0.076295,0.502095,0.198576,0.250090,0.702798,0.392367,0.694735,0.00076791,2.667960,0.892001,0.882150,0.898261,40.6948,"{""cora"": 6, ""citeseer"": 8, ""pubmed"": 17, ""ppi"": 33, ""facebook_ego"": 9, ""twitch_en"": 45, ""coauthor_cs"": 10, ""dblp_snap"": 58, ""power_grid"": 4, ""as733"": 10}"
33,6600,201.1,-0.930400,0.070087,0.499281,0.207575,0.246988,0.697313,0.385120,0.697030,0.00075452,2.726825,0.894316,0.884690,0.899535,38.0576,"{""cora"": 9, ""citeseer"": 11, ""pubmed"": 17, ""ppi"": 23, ""facebook_ego"": 8, ""twitch_en"": 52, ""coauthor_cs"": 16, ""dblp_snap"": 54, ""power_grid"": 3, ""as733"": 7}"
34,6800,206.5,-0.918192,0.069720,0.503113,0.209808,0.246557,0.696994,0.385649,0.697517,0.00074088,3.273054,0.890368,0.882129,0.896324,38.3084,"{""cora"": 2, ""citeseer"": 9, ""pubmed"": 12, ""ppi"": 23, ""facebook_ego"": 8, ""twitch_en"": 46, ""coauthor_cs"": 13, ""dblp_snap"": 70, ""power_grid"": 6, ""as733"": 11}"
35,7000,212.0,-0.873449,0.075457,0.499224,0.209484,0.246834,0.701649,0.385930,0.699603,0.00072700,2.682583,0.894665,0.883722,0.891371,38.1461,"{""cora"": 1, ""citeseer"": 8, ""pubmed"": 20, ""ppi"": 29, ""facebook_ego"": 5, ""twitch_en"": 43, ""coauthor_cs"": 16, ""dblp_snap"": 62, ""power_grid"": 7, ""as733"": 9}"
36,7200,217.5,-0.800112,0.080085,0.499089,0.220305,0.249026,0.701429,0.384826,0.700419,0.00071289,2.843628,0.896815,0.884615,0.897809,40.7967,"{""cora"": 6, ""citeseer"": 6, ""pubmed"": 15, ""ppi"": 29, ""facebook_ego"": 4, ""twitch_en"": 30, ""coauthor_cs"": 16, ""dblp_snap"": 79, ""power_grid"": 8, ""as733"": 7}"
37,7400,223.0,-0.879799,0.077638,0.497294,0.203266,0.249817,0.694515,0.381224,0.701968,0.00069857,2.673032,0.897646,0.884758,0.899810,40.5137,"{""cora"": 5, ""citeseer"": 7, ""pubmed"": 16, ""ppi"": 33, ""facebook_ego"": 11, ""twitch_en"": 40, ""coauthor_cs"": 13, ""dblp_snap"": 59, ""power_grid"": 9, ""as733"": 7}"
38,7600,229.4,-0.997896,0.067731,0.492977,0.191998,0.246800,0.693376,0.377089,0.702262,0.00068406,2.588471,0.901956,0.886671,0.904268,40.9637,"{""cora"": 2, ""citeseer"": 6, ""pubmed"": 21, ""ppi"": 25, ""facebook_ego"": 7, ""twitch_en"": 47, ""coauthor_cs"": 21, ""dblp_snap"": 49, ""power_grid"": 8, ""as733"": 14}"
39,7800,235.5,-0.986375,0.072234,0.495121,0.182983,0.245319,0.694730,0.372195,0.702312,0.00066937,2.442671,0.900985,0.887081,0.905935,38.4245,"{""cora"": 7, ""citeseer"": 4, ""pubmed"": 16, ""ppi"": 31, ""facebook_ego"": 9, ""twitch_en"": 37, ""coauthor_cs"": 13, ""dblp_snap"": 61, ""power_grid"": 8, ""as733"": 14}"
40,8000,241.0,-0.895911,0.072451,0.496964,0.207300,0.245358,0.694528,0.375320,0.702795,0.00065451,2.732955,0.897643,0.886285,0.898232,41.3777,"{""cora"": 3, ""citeseer"": 4, ""pubmed"": 16, ""ppi"": 26, ""facebook_ego"": 7, ""twitch_en"": 43, ""coauthor_cs"": 16, ""dblp_snap"": 64, ""power_grid"": 6, ""as733"": 15}"
41,8200,247.4,-0.852753,0.076674,0.495979,0.210983,0.246052,0.695650,0.375979,0.704839,0.00063950,2.741398,0.898644,0.885148,0.896823,41.1502,"{""cora"": 3, ""citeseer"": 6, ""pubmed"": 20, ""ppi"": 30, ""facebook_ego"": 8, ""twitch_en"": 43, ""coauthor_cs"": 18, ""dblp_snap"": 60, ""power_grid"": 5, ""as733"": 7}"
42,8400,252.8,-0.965056,0.071711,0.497769,0.190023,0.246474,0.696272,0.376876,0.704660,0.00062434,2.288645,0.896729,0.886657,0.896608,38.5127,"{""cora"": 3, ""citeseer"": 10, ""pubmed"": 13, ""ppi"": 26, ""facebook_ego"": 5, ""twitch_en"": 47, ""coauthor_cs"": 17, ""dblp_snap"": 62, ""power_grid"": 4, ""as733"": 13}"
